fixture_slug,status,failure_stage,codes,root_cause_family,resolution_lane,rationale,first_rust_error_line,first_output_line
0203_remove_linked_list_elements,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0211_design_add_and_search_words_data_structure,RUN_ERROR,run,"E0277,E0382",type_contract_emission_gap,compiler_fix,Emit shows invalid comparison `if c == None` for String token plus move issue; root cause is codegen type emission.,error[E0277]: can't compare `String` with `Option<_>`,build error: cargo build failed:
0234_palindrome_linked_list,RUN_ERROR,run,E0609,recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0304_range_sum_query_2d_immutable,RUN_ERROR,run,"E0277,E0282,E0424",binding_scope_and_capture_emission_gap,compiler_fix,Generated Rust references missing/self/capture-invalid bindings.,"error[E0424]: expected value, found module `self`",build error: cargo build failed:
0394_decode_string,RUN_ERROR,run,NO_RUST_CODE,other_codegen_build_gap,compiler_fix,Residual generated-Rust build failure requiring compiler-side fix.,,build error: cargo build failed:
0417_pacific_atlantic_water_flow,RUN_ERROR,run,"E0434,E0596",binding_scope_and_capture_emission_gap,compiler_fix,Generated Rust references missing/self/capture-invalid bindings.,error[E0434]: can't capture dynamic environment in a fn item,build error: cargo build failed:
0435_non_overlapping_intervals,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0450_delete_node_in_a_bst,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0513_find_bottom_left_tree_value,RUN_ERROR,run,NO_RUST_CODE,other_codegen_build_gap,compiler_fix,Residual generated-Rust build failure requiring compiler-side fix.,,build error: cargo build failed:
0567_permutation_in_string,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0572_subtree_of_another_tree,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: arguments to this function are incorrect,build error: cargo build failed:
0617_merge_two_binary_trees,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0662_maximum_width_of_binary_tree,RUN_ERROR,run,NO_RUST_CODE,codegen_production_panic_missing_structured_emission,compiler_fix,Compiler panicked during production path; must be fixed in sifr_codegen.,,thread 'main' (81792820) panicked at crates/sifr_codegen/src/lib.rs:1492:17:
0669_trim_a_binary_search_tree,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<TreeNode>`,build error: cargo build failed:
0701_insert_into_a_binary_search_tree,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0703_kth_largest_element_in_a_stream,RUN_ERROR,run,E0382,ownership_and_borrow_emission_gap,compiler_fix,Generated Rust violates move/borrow rules (use-after-move or aliasing borrow).,error[E0382]: use of moved value: `ordered`,build error: cargo build failed:
0729_my_calendar_i,RUN_ERROR,run,"E0277,E0596",binding_scope_and_capture_emission_gap,compiler_fix,Emit shows invalid mutable recursion on cloned child plus auto-Display use of CalendarNode without Display impl.,error[E0277]: `CalendarNode` doesn't implement `std::fmt::Display`,build error: cargo build failed:
0783_minimum_distance_between_bst_nodes,RUN_ERROR,run,E0369,type_contract_emission_gap,compiler_fix,Emit shows `second_val - first_val` on Option<i64>; compiler wrapped scalars into Option and failed to unwrap.,error[E0369]: cannot subtract `Option<i64>` from `Option<i64>`,build error: cargo build failed:
0838_push_dominoes,RUN_ERROR,run,NO_RUST_CODE,other_codegen_build_gap,compiler_fix,Residual generated-Rust build failure requiring compiler-side fix.,,build error: cargo build failed:
0876_middle_of_the_linked_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0894_all_possible_full_binary_trees,RUN_ERROR,run,"E0308,E0599,E0631",type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: arguments to this function are incorrect,build error: cargo build failed:
0912_sort_an_array,RUN_ERROR,run,E0382,ownership_and_borrow_emission_gap,compiler_fix,Generated Rust violates move/borrow rules (use-after-move or aliasing borrow).,error[E0382]: use of moved value: `nums`,build error: cargo build failed:
1203_sort_items_by_groups_respecting_dependencies,RUN_ERROR,run,E0502,ownership_and_borrow_emission_gap,compiler_fix,Generated Rust violates move/borrow rules (use-after-move or aliasing borrow).,error[E0502]: cannot borrow `predecessors_count_item` as immutable because it is also borrowed as mutable,build error: cargo build failed:
1609_even_odd_tree,RUN_ERROR,run,NO_RUST_CODE,other_codegen_build_gap,compiler_fix,Residual generated-Rust build failure requiring compiler-side fix.,,build error: cargo build failed:
1669_merge_in_between_linked_lists,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
1721_swapping_nodes_in_a_linked_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
1958_check_if_move_is_legal,RUN_ERROR,run,"E0282,E0308",type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
1968_array_with_elements_not_equal_to_average_of_neighbors,RUN_ERROR,run,NO_RUST_CODE,runtime_oracle_canonicalization_needed,sifr_adaptation,Program built and executed but oracle asserts deterministic shape/order; requires fixture canonicalization.,,[sifr-artifact-cache] namespace=run key=b6d8c46106fc61b3 cache_hit=true workspace=/var/folders/lq/l19_y_rn76b8vprfvdjn9zch0000gn/T/sifr_generated_artifact_cache/run/b6d8c46106fc61b3
2130_maximum_twin_sum_of_a_linked_list,RUN_ERROR,run,E0609,recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
2215_find_the_difference_of_two_arrays,RUN_ERROR,run,NO_RUST_CODE,runtime_oracle_canonicalization_needed,sifr_adaptation,Program built and executed but oracle asserts deterministic shape/order; requires fixture canonicalization.,,[sifr-artifact-cache] namespace=run key=3a1d6576145bf5f1 cache_hit=true workspace=/var/folders/lq/l19_y_rn76b8vprfvdjn9zch0000gn/T/sifr_generated_artifact_cache/run/3a1d6576145bf5f1
