fixture_slug,snapshot_first_diagnostic,current_check_first_line_20260403,current_check_exit_code_20260403_rerun,current_check_status_20260403_rerun,still_failing_on_current_check,root_cause_cluster,resolution_owner,rationale
0452_minimum_number_of_arrows_to_burst_balloons,type error: min() with 2 arguments does not accept optional operands; got 'int | None' and 'int | None' (guard or unwrap first),no errors found,0,pass,no,cluster_cfg_narrowing_for_builtin_min_max,compiler_fix,min() optional operands should narrow from sorted interval access
0567_permutation_in_string,"type error: ord() argument must be 'str', got 'str | None'",no errors found,0,pass,no,cluster_parse_result_and_optional_stack,both,ord receives str|None and parse/result pollution requires explicit adaptation + better narrowing
0778_swim_in_rising_water,type error: cannot unpack non-tuple type 'None | list[int | None]',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_heap_pop_optional_unpack,both,heap pop/unpack Optional tuple/list semantics need explicit non-empty adaptation and container typing improvements
0802_find_eventual_safe_states,type error: cannot iterate over type 'list[int] | None',no errors found,0,pass,no,cluster_index_based_optional_leakage,compiler_fix,iteration over graph[i] leaks list[int]|None despite bounded i loop
0875_koko_eating_bananas,"type error: return type mismatch: expected 'int', got 'int | None'",no errors found,0,pass,no,cluster_binary_search_index_optional_arithmetic,both,binary-search math uses int|None intermediates; needs narrowing + canonical adaptation cleanup
0881_boats_to_save_people,type error: unsupported operand type(s) for +: 'int | None' and 'int | None',no errors found,0,pass,no,cluster_two_pointer_index_optional_arithmetic,compiler_fix,two-pointer bounded indices still typed as Optional in arithmetic
0904_fruit_into_baskets,type error: dict subscript assignment key type 'int | None' is not compatible with dict key type 'int',no errors found,0,pass,no,cluster_container_element_optional_contamination,compiler_fix,dict key receives int|None from bounded array index access
0948_bag_of_tokens,type error: unsupported operand type(s) for +: 'int' and 'int | None',no errors found,0,pass,no,cluster_two_pointer_index_optional_arithmetic,compiler_fix,two-pointer score math polluted by Optional index value under guarded bounds
0977_squares_of_a_sorted_array,"type error: abs() argument must be numeric, got 'int | None'",warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_two_pointer_index_optional_arithmetic,both,abs receives int|None; plus fixture local-name hygiene needed in canonical form
1203_sort_items_by_groups_respecting_dependencies,"type error: argument 1 ('items') of function '__compat_sifr_collections_deque': expected 'None | list[T]', got 'Iterator[int]'",no errors found,0,pass,no,cluster_stdlib_compat_deque_surface,both,deque compat expects list but gets iterator and optional/index contamination follows
1397_find_all_good_strings,type error: cannot index type 'str' with 'int | None',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_string_index_optional_leakage,both,string indexing with int|None plus helper-shape adaptation required for deterministic typing
1423_maximum_points_you_can_obtain_from_cards,type error: unsupported operand type(s) for -: 'int | None' and 'int | None',no errors found,0,pass,no,cluster_index_based_optional_leakage,compiler_fix,window arithmetic leaks Optional from bounded card index access
1498_number_of_subsequences_that_satisfy_the_given_sum_condition,type error: unsupported operand type(s) for +: 'int | None' and 'int | None',warning: int left shift (<<) with non-constant shift amount may overflow i64 at runtime; consider using bigint,0,pass,no,cluster_two_pointer_index_optional_arithmetic,compiler_fix,two-pointer arithmetic sees Optional where bounds imply concrete ints
1584_min_cost_to_connect_all_points,type error: cannot unpack non-tuple type 'None | list[int]',no errors found,0,pass,no,cluster_heap_pop_optional_unpack,both,heap tuple unpack receives Optional; requires explicit non-empty adaptation and comparable typing closure
1631_path_with_minimum_effort,"type error: cannot unpack non-tuple type 'None | tuple[int, int, int]'",warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_heap_pop_optional_unpack,both,priority-queue pop/unpack Optional tuple leakage plus return-type stabilization needed
1700_number_of_students_unable_to_eat_lunch,type error: list.append() argument type 'int | None' is not compatible with list element type 'int',no errors found,0,pass,no,cluster_container_element_optional_contamination,compiler_fix,queue/list append path leaks int|None into list[int]
1838_frequency_of_the_most_frequent_element,type error: unsupported operand type(s) for -: 'int' and 'int | None',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_binary_search_index_optional_arithmetic,compiler_fix,window arithmetic leaks Optional from bounded sorted array indices
1980_find_unique_binary_string,type error: if expression branches have incompatible types: 'None' and 'str',no errors found,0,pass,no,cluster_optional_sentinel_return_shape,sifr_adaptation,Python-style None sentinel branch in str-return helper should be rewritten to explicit Option flow
2300_successful_pairs_of_spells_and_potions,type error: unsupported operand type(s) for *: 'int' and 'int | None',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_binary_search_index_optional_arithmetic,compiler_fix,binary-search multiplication uses int|None from bounded potions index
