fixture_slug,category,root_cause_id,resolution_mode,first_diagnostic,rationale
0918_maximum_sum_circular_subarray,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: max() with 2 arguments does not accept optional operands; got 'int' and 'int | None' (guard or unwrap first),Optional union survives into arithmetic/comparison operators
1011_capacity_to_ship_packages_within_d_days,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for +: 'int | None' and 'int',Optional union survives into arithmetic/comparison operators
1074_number_of_submatrices_that_sum_to_target,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for +: 'int | None' and 'int | None',Optional union survives into arithmetic/comparison operators
1288_remove_covered_intervals,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: bad operand type for unary -: 'int | None',Optional union survives into arithmetic/comparison operators
1475_final_prices_with_a_special_discount_in_a_shop,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for -: 'int' and 'int | None',Optional union survives into arithmetic/comparison operators
2001_number_of_pairs_of_interchangeable_rectangles,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for /: 'int | None' and 'int | None',Optional union survives into arithmetic/comparison operators
2482_difference_between_ones_and_zeros_in_row_and_column,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for +: 'int | None' and 'int | None',Optional union survives into arithmetic/comparison operators
0210_course_schedule_ii,optional_none_flow_and_narrowing_gap,ON-2-optional-container-boundary-leak,compiler,type error: cannot iterate over type 'list[int] | None',Optional container binding not narrowed before iteration/index/method use
0347_top_k_frequent_elements,optional_none_flow_and_narrowing_gap,ON-2-optional-container-boundary-leak,compiler,type error: type 'None | list[int]' has no method 'append',Optional container binding not narrowed before iteration/index/method use
0785_is_graph_bipartite,optional_none_flow_and_narrowing_gap,ON-2-optional-container-boundary-leak,compiler,type error: cannot iterate over type 'list[int] | None',Optional container binding not narrowed before iteration/index/method use
0787_cheapest_flights_within_k_stops,optional_none_flow_and_narrowing_gap,ON-2-optional-container-boundary-leak,compiler,type error: cannot index type 'list[float]' with 'int | None',"Optional index value (int | None) not narrowed before container indexing; note: container itself is concrete, issue is in index position (ON-1 variant)"
2092_find_all_people_with_secret,optional_none_flow_and_narrowing_gap,ON-2-optional-container-boundary-leak,compiler,"type error: 'not in' operator not supported for type 'dict[int, list[int]] | None'",Optional container binding not narrowed before iteration/index/method use
2101_detonate_the_maximum_bombs,optional_none_flow_and_narrowing_gap,ON-2-optional-container-boundary-leak,compiler,type error: cannot iterate over type 'list[int] | None',Optional container binding not narrowed before iteration/index/method use
0253_meeting_rooms_ii,optional_none_flow_and_narrowing_gap,ON-3-optional-element-contamination,compiler,"type error: list.append() argument type 'tuple[int | None, int]' is not compatible with list element type 'tuple[int, int]'",Optional element type contaminates container value domain
0280_wiggle_sort,optional_none_flow_and_narrowing_gap,ON-3-optional-element-contamination,compiler,type error: list subscript assignment value type 'int | None' is not compatible with list element type 'int',Optional element type contaminates container value domain
0456_132_pattern,optional_none_flow_and_narrowing_gap,ON-3-optional-element-contamination,compiler,"type error: list element type mismatch: expected 'int', got 'int | None'",Optional element type contaminates container value domain
0208_implement_trie_prefix_tree,optional_none_flow_and_narrowing_gap,ON-4-optional-contract-and-return-closure,both,"type error: return type mismatch: expected 'bool', got 'None | bool'",Mixture of compiler return/narrowing closure and fixture-level explicit-guard intent
0752_open_the_lock,optional_none_flow_and_narrowing_gap,ON-4-optional-contract-and-return-closure,both,"type error: argument 1 of callable 'children': expected 'str', got 'str | None'",Mixture of compiler return/narrowing closure and fixture-level explicit-guard intent
1466_reorder_routes_to_make_all_paths_lead_to_the_city_zero,optional_none_flow_and_narrowing_gap,ON-4-optional-contract-and-return-closure,both,"type error: argument 1 of callable 'dfs': expected 'int', got 'int | None'",Mixture of compiler return/narrowing closure and fixture-level explicit-guard intent
1845_seat_reservation_manager,optional_none_flow_and_narrowing_gap,ON-4-optional-contract-and-return-closure,both,"type error: return type mismatch: expected 'int', got 'None | int'",Mixture of compiler return/narrowing closure and fixture-level explicit-guard intent
0332_reconstruct_itinerary,optional_none_flow_and_narrowing_gap,ON-5-optional-string-surface-guarding,both,type error: 'not in' operator: element type 'str | None' is not compatible with collection element type 'str',Optional string method/membership requires stable narrowing or explicit fixture guard
0929_unique_email_addresses,optional_none_flow_and_narrowing_gap,ON-5-optional-string-surface-guarding,both,type error: type 'None | str' has no method 'replace',Optional string method/membership requires stable narrowing or explicit fixture guard
