category,fixture_slug,root_cause_id,resolution_mode,expected_outcome_after_focus4,expected_blocker_category,notes
any_unknown_typing_and_container_specialization_gap,0402_remove_k_digits,AU-3-optional_any_bridge_leak,compiler,migrate:operator_and_truthiness,operator_and_truthiness,int truthiness is out-of-scope in focus-4
any_unknown_typing_and_container_specialization_gap,0496_next_greater_element_i,AU-3-optional_any_bridge_leak,compiler,migrate:python_stdlib_parity,python_stdlib_parity,Iterator parity gap
any_unknown_typing_and_container_specialization_gap,0735_asteroid_collision,AU-3-optional_any_bridge_leak,compiler,migrate:operator_and_truthiness,operator_and_truthiness,int truthiness is out-of-scope in focus-4
any_unknown_typing_and_container_specialization_gap,1475_final_prices_with_a_special_discount_in_a_shop,AU-3-optional_any_bridge_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,1642_furthest_building_you_can_reach,AU-3-optional_any_bridge_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0144_binary_tree_preorder_traversal,AU-4-container_shape_specialization_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0145_binary_tree_postorder_traversal,AU-4-container_shape_specialization_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0442_find_all_duplicates_in_an_array,AU-4-container_shape_specialization_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,1489_find_critical_and_pseudo_critical_edges_in_minimum_spanning_tree,AU-4-container_shape_specialization_leak,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
class_field_state_and_object_layout,0155_min_stack,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0208_implement_trie_prefix_tree,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0225_implement_stack_using_queues,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0232_implement_queue_using_stacks,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0303_range_sum_query_immutable,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0535_encode_and_decode_tinyurl,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0705_design_hashset,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0706_design_hashmap,CF-1-class_field_registration_gap,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
class_field_state_and_object_layout,0721_accounts_merge,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0745_prefix_and_suffix_search,CF-1-class_field_registration_gap,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
class_field_state_and_object_layout,0901_online_stock_span,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0981_time_based_key_value_store,CF-1-class_field_registration_gap,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
class_field_state_and_object_layout,1603_design_parking_system,CF-1-class_field_registration_gap,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
class_field_state_and_object_layout,1845_seat_reservation_manager,CF-1-class_field_registration_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,0707_design_linked_list,CF-2-nested_attribute_assignment_gap,compiler,pass,,expected to pass after focus-4 closure
class_field_state_and_object_layout,1472_design_browser_history,CF-2-nested_attribute_assignment_gap,compiler,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0012_integer_to_roman,DS-1-list_pair_destructure_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0323_number_of_connected_components_in_an_undirected_graph,DS-1-list_pair_destructure_requires_tuple,both,multi_workstream,,requires convergence across multiple focus-4 workstreams
destructuring_and_assignment_target_surface_gap,0787_cheapest_flights_within_k_stops,DS-1-list_pair_destructure_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0994_rotting_oranges,DS-1-list_pair_destructure_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,1091_shortest_path_in_binary_matrix,DS-1-list_pair_destructure_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,1462_course_schedule_iv,DS-1-list_pair_destructure_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,1466_reorder_routes_to_make_all_paths_lead_to_the_city_zero,DS-1-list_pair_destructure_requires_tuple,both,migrate:nonlocal_mutable_capture,nonlocal_mutable_capture,recursive nonlocal mutable capture intentionally unsupported
destructuring_and_assignment_target_surface_gap,2001_number_of_pairs_of_interchangeable_rectangles,DS-1-list_pair_destructure_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0076_minimum_window_substring,DS-2-list_unpack_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0286_walls_and_gates,DS-2-list_unpack_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0673_number_of_longest_increasing_subsequence,DS-2-list_unpack_requires_tuple,both,migrate:nonlocal_mutable_capture,nonlocal_mutable_capture,tuple-unpack nonlocal rebind is intentionally unsupported
destructuring_and_assignment_target_surface_gap,0752_open_the_lock,DS-2-list_unpack_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0909_snakes_and_ladders,DS-2-list_unpack_requires_tuple,both,migrate:operator_and_truthiness,operator_and_truthiness,int truthiness is out-of-scope in focus-4
destructuring_and_assignment_target_surface_gap,0929_unique_email_addresses,DS-2-list_unpack_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,1260_shift_2d_grid,DS-2-list_unpack_requires_tuple,both,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0516_longest_palindromic_subsequence,DS-3-augassign_subscript_lowering_gap,compiler,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0895_maximum_frequency_stack,DS-3-augassign_subscript_lowering_gap,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
destructuring_and_assignment_target_surface_gap,1396_design_underground_system,DS-3-augassign_subscript_lowering_gap,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
destructuring_and_assignment_target_surface_gap,2013_detect_squares,DS-3-augassign_subscript_lowering_gap,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
destructuring_and_assignment_target_surface_gap,2482_difference_between_ones_and_zeros_in_row_and_column,DS-3-augassign_subscript_lowering_gap,compiler,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0280_wiggle_sort,DS-4-unpack_target_shape_restriction,adaptation,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0283_move_zeroes,DS-4-unpack_target_shape_restriction,adaptation,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0344_reverse_string,DS-4-unpack_target_shape_restriction,adaptation,pass,,expected to pass after focus-4 closure
destructuring_and_assignment_target_surface_gap,0622_design_circular_queue,DS-5-chained_assignment_restriction,adaptation,multi_workstream,,requires convergence across multiple focus-4 workstreams
return_path_and_function_contract_gap,0049_group_anagrams,RF-1-duplicate_solution_definitions,adaptation,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0231_power_of_two,RF-1-duplicate_solution_definitions,adaptation,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0338_counting_bits,RF-1-duplicate_solution_definitions,adaptation,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0621_task_scheduler,RF-1-duplicate_solution_definitions,adaptation,migrate:python_stdlib_parity,python_stdlib_parity,Counter unresolved in focus-4
return_path_and_function_contract_gap,0658_find_k_closest_elements,RF-1-duplicate_solution_definitions,adaptation,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,1481_least_number_of_unique_integers_after_k_removals,RF-1-duplicate_solution_definitions,adaptation,migrate:python_stdlib_parity,python_stdlib_parity,Counter unresolved in focus-4
return_path_and_function_contract_gap,2864_maximum_odd_binary_number,RF-1-duplicate_solution_definitions,adaptation,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0018_4sum,RF-2-loop_local_scope_resolution_bug,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0134_gas_station,RF-2-loop_local_scope_resolution_bug,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0149_max_points_on_a_line,RF-2-loop_local_scope_resolution_bug,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0410_split_array_largest_sum,RF-2-loop_local_scope_resolution_bug,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,1011_capacity_to_ship_packages_within_d_days,RF-2-loop_local_scope_resolution_bug,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,1074_number_of_submatrices_that_sum_to_target,RF-2-loop_local_scope_resolution_bug,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0118_pascals_triangle,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0153_find_minimum_in_rotated_sorted_array,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0162_find_peak_element,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0167_two_sum_ii_input_array_is_sorted,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0221_maximal_square,RF-3-return_completeness_false_positive,compiler,migrate:python_stdlib_parity,python_stdlib_parity,min() arity mismatch
return_path_and_function_contract_gap,0347_top_k_frequent_elements,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0367_valid_perfect_square,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0463_island_perimeter,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,0918_maximum_sum_circular_subarray,RF-3-return_completeness_false_positive,compiler,pass,,expected to pass after focus-4 closure
return_path_and_function_contract_gap,1572_matrix_diagonal_sum,RF-3-return_completeness_false_positive,compiler,migrate:mixed_out_of_scope,mixed_out_of_scope,missing annotations + Any arithmetic outside focus-4
return_path_and_function_contract_gap,2709_greatest_common_divisor_traversal,RF-3-return_completeness_false_positive,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
