fixture_slug,status,first_diagnostic,subcategory,resolution_path,rationale
0211_design_add_and_search_words_data_structure,CHECK_ERROR,type error: attribute access '.children' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Trie node field reads blocked; fixture also needs explicit class fields/types.
0236_lowest_common_ancestor_of_a_binary_tree,CHECK_ERROR,"type error: argument 1 ('root') of function 'lowestCommonAncestor': expected '""TreeNode""', got 'TreeNode'",quoted_forward_ref_boundary_mismatch,both,"Quoted forward-ref boundary mismatch needs fixture-side canonicalization, and compiler field-expression support is also required for `.left`/`.right` reads."
0297_serialize_and_deserialize_binary_tree,CHECK_ERROR,type error: attribute access '.left' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Tree field-expression support missing; fixture additionally needs explicit method signatures and deterministic helper typing.
0450_delete_node_in_a_bst,CHECK_ERROR,type error: attribute access '.left' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Node field reads blocked; fixture must also satisfy explicit mut/own boundaries.
0513_find_bottom_left_tree_value,CHECK_ERROR,"type error: argument 1 ('val') of deque.append(): expected 'T', got 'None | TreeNode'",optional_node_in_container_elements,both,Queue element typing with nullable nodes needs compiler refinement; fixture should normalize duplicate helper/signature shape.
0572_subtree_of_another_tree,CHECK_ERROR,type error: attribute access '.val' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Field reads blocked and helper return-path completeness needs adaptation.
0606_construct_string_from_binary_tree,CHECK_ERROR,"type error: argument 1 ('t') of function 'dfs': expected 'TreeNode', got 'None | TreeNode'",nullable_function_boundary_signature,sifr_adaptation,Helper signature should explicitly accept nullable nodes and typed accumulator list; fix is fixture-side canonicalization.
0617_merge_two_binary_trees,CHECK_ERROR,"type error: argument 1 ('t1') of function 'mergeTrees': expected 'TreeNode', got 'None | TreeNode'",nullable_function_boundary_signature,sifr_adaptation,Recursive merge should use nullable node parameters explicitly under Sifr contracts.
0662_maximum_width_of_binary_tree,CHECK_ERROR,"type error: list.append() argument type 'tuple[None | TreeNode, int]' is not compatible with list element type 'tuple[TreeNode, int]'",optional_node_in_container_elements,both,Container element typing for nullable-node BFS tuples needs compiler support; fixture can reduce Optional leakage via guards.
0729_my_calendar_i,CHECK_ERROR,type error: attribute access '.end' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Calendar node field reads blocked; fixture also needs explicit class-field/type declarations.
0783_minimum_distance_between_bst_nodes,CHECK_ERROR,type error: attribute access '.val' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Field reads blocked and fixture uses unsupported `nonlocal` mutation; requires compiler lane + adaptation rewrite.
0876_middle_of_the_linked_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Primary blocker is `.next` expression support; ownership boundaries still require adaptation.
0894_all_possible_full_binary_trees,CHECK_ERROR,"type error: return type mismatch: expected 'list[None | TreeNode]', got 'list[TreeNode]'",optional_return_variance_mismatch,sifr_adaptation,Return annotation should be canonicalized to concrete `list[TreeNode]` or construction adjusted to match declared optionality.
1609_even_odd_tree,CHECK_ERROR,type error: attribute access '.left' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Tree field reads blocked; queue condition/value flow needs Sifr-safe shaping.
1669_merge_in_between_linked_lists,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Field access gap plus explicit mut/ownership requirements in list splice flow.
1721_swapping_nodes_in_a_linked_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Node field reads blocked and pointer movement needs Sifr ownership-safe structure.
2130_maximum_twin_sum_of_a_linked_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Field access gap plus ownership constraints on node traversal updates.
