category,fixture_slug,diagnostic,error_line,error_col,source_line
destructuring_and_assignment_target_surface_gap,0323_number_of_connected_components_in_an_undirected_graph,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'",,,
destructuring_and_assignment_target_surface_gap,0344_reverse_string,type error: tuple unpacking target must be a simple name or attribute,,,
destructuring_and_assignment_target_surface_gap,0516_longest_palindromic_subsequence,type error: augmented subscript assignment target must be a simple name,,,
destructuring_and_assignment_target_surface_gap,0622_design_circular_queue,type error: chained assignment targets must be simple names,,,
destructuring_and_assignment_target_surface_gap,0673_number_of_longest_increasing_subsequence,type error: cannot unpack non-tuple type 'list[int]',,,
destructuring_and_assignment_target_surface_gap,0752_open_the_lock,type error: cannot unpack non-tuple type 'list[str]',,,
destructuring_and_assignment_target_surface_gap,0787_cheapest_flights_within_k_stops,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'",,,
destructuring_and_assignment_target_surface_gap,0895_maximum_frequency_stack,type error: augmented subscript assignment target must be a simple name,,,
destructuring_and_assignment_target_surface_gap,0909_snakes_and_ladders,type error: cannot unpack non-tuple type 'list[int]',,,
destructuring_and_assignment_target_surface_gap,0929_unique_email_addresses,type error: cannot unpack non-tuple type 'list[str]',,,
destructuring_and_assignment_target_surface_gap,0994_rotting_oranges,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'",,,
destructuring_and_assignment_target_surface_gap,1091_shortest_path_in_binary_matrix,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'",,,
destructuring_and_assignment_target_surface_gap,1260_shift_2d_grid,type error: cannot unpack non-tuple type 'list[int]',,,
destructuring_and_assignment_target_surface_gap,1396_design_underground_system,type error: augmented subscript assignment target must be a simple name,,,
destructuring_and_assignment_target_surface_gap,1462_course_schedule_iv,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'",,,
destructuring_and_assignment_target_surface_gap,1466_reorder_routes_to_make_all_paths_lead_to_the_city_zero,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'",,,
destructuring_and_assignment_target_surface_gap,2001_number_of_pairs_of_interchangeable_rectangles,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'",,,
destructuring_and_assignment_target_surface_gap,2013_detect_squares,type error: augmented subscript assignment target must be a simple name,,,
destructuring_and_assignment_target_surface_gap,2482_difference_between_ones_and_zeros_in_row_and_column,type error: augmented subscript assignment target must be a simple name,,,
return_path_and_function_contract_gap,0018_4sum,type error: undefined variable: 's',,,
return_path_and_function_contract_gap,0049_group_anagrams,type error: duplicate function definition in module: 'groupAnagrams',,,
return_path_and_function_contract_gap,0118_pascals_triangle,type error: function 'generate' must return a value of type 'list[list[int]]' on all control-flow paths,,,
return_path_and_function_contract_gap,0134_gas_station,type error: undefined variable: 'diff',,,
return_path_and_function_contract_gap,0149_max_points_on_a_line,type error: undefined variable: 'slope',,,
return_path_and_function_contract_gap,0153_find_minimum_in_rotated_sorted_array,type error: function 'findMin' must return a value of type 'int' on all control-flow paths,,,
return_path_and_function_contract_gap,0162_find_peak_element,type error: function 'findPeakElement' must return a value of type 'int' on all control-flow paths,,,
return_path_and_function_contract_gap,0167_two_sum_ii_input_array_is_sorted,type error: function 'twoSum' must return a value of type 'list[int]' on all control-flow paths,,,
return_path_and_function_contract_gap,0221_maximal_square,type error: function 'maximalSquare' must return a value of type 'int' on all control-flow paths,,,
return_path_and_function_contract_gap,0231_power_of_two,type error: duplicate function definition in module: 'isPowerOfTwo',,,
return_path_and_function_contract_gap,0338_counting_bits,type error: duplicate function definition in module: 'countBits',,,
return_path_and_function_contract_gap,0347_top_k_frequent_elements,type error: function 'topKFrequent' must return a value of type 'list[int]' on all control-flow paths,,,
return_path_and_function_contract_gap,0367_valid_perfect_square,type error: function 'isPerfectSquare' must return a value of type 'bool' on all control-flow paths,,,
return_path_and_function_contract_gap,0410_split_array_largest_sum,type error: undefined variable: 'mid',,,
return_path_and_function_contract_gap,0463_island_perimeter,type error: function 'islandPerimeter' must return a value of type 'int' on all control-flow paths,,,
return_path_and_function_contract_gap,0621_task_scheduler,type error: duplicate function definition in module: 'leastInterval',,,
return_path_and_function_contract_gap,0658_find_k_closest_elements,type error: duplicate function definition in module: 'findClosestElements',,,
return_path_and_function_contract_gap,0918_maximum_sum_circular_subarray,type error: function 'maxSubarraySumCircular' must return a value of type 'int' on all control-flow paths,,,
return_path_and_function_contract_gap,1011_capacity_to_ship_packages_within_d_days,type error: undefined variable: 'cap',,,
return_path_and_function_contract_gap,1074_number_of_submatrices_that_sum_to_target,type error: undefined variable: 'cur_sum',,,
return_path_and_function_contract_gap,1481_least_number_of_unique_integers_after_k_removals,type error: duplicate function definition in module: 'findLeastNumOfUniqueInts',,,
return_path_and_function_contract_gap,1572_matrix_diagonal_sum,type error: function 'diagonalSum' must return a value of type 'int' on all control-flow paths,,,
return_path_and_function_contract_gap,2709_greatest_common_divisor_traversal,type error: function 'canTraverseAllPairs' must return a value of type 'bool' on all control-flow paths,,,
return_path_and_function_contract_gap,2864_maximum_odd_binary_number,type error: duplicate function definition in module: 'maximumOddBinaryNumber',,,
