rank,module,category,impact,effort,score,import_refs,source_loc,test_loc
134,poplib,ecosystem_networking_io,3.1,3.7,2.07,1,479,579
135,wave,ecosystem_networking_io,3.1,3.7,2.07,1,637,232
136,zipapp,ecosystem_networking_io,3.1,3.7,2.07,2,231,459
137,mmap,os_platform_ext,3.6,4.9,1.68,7,0,1288
138,pyexpat,os_platform_ext,3.6,4.9,1.68,4,0,1134
139,cProfile,runtime_introspection,2.6,3.5,1.26,2,13,0
140,bdb,runtime_introspection,3.4,5.0,1.14,4,1197,1242
141,code,runtime_introspection,3.4,5.0,1.14,7,396,1646
142,pydoc,runtime_introspection,3.4,5.0,1.14,7,2818,0
143,pydoc_data,runtime_introspection,3.4,5.0,1.14,3,15016,0
144,site,runtime_introspection,3.4,5.0,1.14,6,775,912
145,trace,runtime_introspection,3.4,5.0,1.14,4,749,594
146,tracemalloc,runtime_introspection,3.4,5.0,1.14,5,560,1148
147,venv,ecosystem_networking_io,3.1,4.5,1.11,2,703,1052
148,cmath,os_platform_ext,2.8,4.1,0.96,2,0,593
149,imaplib,ecosystem_networking_io,3.1,5.0,0.51,1,1975,1137
150,mailbox,ecosystem_networking_io,3.1,5.0,0.51,2,2217,2494
151,turtledemo,ecosystem_networking_io,3.1,5.0,0.51,1,2356,0
152,profile,runtime_introspection,2.6,4.2,0.42,1,623,226
153,symtable,runtime_introspection,2.6,4.2,0.42,2,452,676
154,tabnanny,runtime_introspection,2.6,4.2,0.42,2,345,369
155,winsound,os_platform_ext,2.1,3.4,0.33,0,0,187
156,antigravity,runtime_introspection,1.9,3.5,-0.21,0,17,0
157,this,runtime_introspection,1.9,3.5,-0.21,0,28,0
158,compileall,runtime_introspection,2.6,5.0,-0.54,1,480,1164
